Unnamed: 0,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
71,2015 Chevrolet Camaro LT,"$19,998*",63K miles,8 year(s),,Null,,19.0 gal,"112.30""","42.40""","37.80""",Null,"4,015 lbs",Null,Rear Wheel Drive,Automatic,278,4800,"190.6"" L "," 75.50"" W "," 54.70"" H",17 city,28 hwy,6-cyl, Gas, 3.6L,Silver,Black,579.1666666666666
72,2016 Jaguar F-Type,"$34,998*",55K miles,7 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,18.5 gal,"103.2""","43""","37""",Null,"3,477 lbs",Null,Rear Wheel Drive,Automatic,332,3500,"176"" L "," 75.7"" W "," 51.6"" H",19 city,28 hwy,6-cyl, Supercharged Gas, 3.0L,Black,Black,948.5714285714287
75,2012 Honda Accord EX-L,"$17,998*",86K miles,11 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,18.5 gal,"107.9""","42.2""","37.4""",Null,"3,543 lbs",Null,Front Wheel Drive,Automatic,254,5000,"190.9"" L "," 72.8"" W "," 56.4"" H",19 city,29 hwy,6-cyl, Gas, 3.5L,Black,Black,508.0
76,2019 Volkswagen Beetle Final Edition SEL,"$35,998*",18K miles,4 year(s),,Null,,14.5 gal,"100.1""","41.3""","39.3""",Null,"3,239 lbs",Null,Front Wheel Drive,Automatic,184,1500,"168.8"" L "," 71.9"" W "," 58"" H",26 city,33 hwy,4-cyl, Turbo Gas, 2.0L,Black,Black,1226.6666666666665
77,2017 Mercedes-Benz C300,"$29,998*",25K miles,6 year(s),No Accidents or Damage Reported,Null,,17.4 gal,"111.8""","42""","38.8""",Null,"3,770 lbs",Null,All Wheel Drive,Automatic,273,1300,"184.5"" L "," 71.3"" W "," 55.3"" H",23 city,29 hwy,4-cyl, Turbo Gas, 2.0L,Red,Black,2100.0
80,2019 Mercedes-Benz C300,"$32,998*",51K miles,4 year(s),No Accidents or Damage Reported,Null,,17.4 gal,"111.8""","42""","38.8""",Null,"3,682 lbs",Null,All Wheel Drive,Automatic,273,1800,"184.5"" L "," 71.3"" W "," 55.3"" H",22 city,31 hwy,4-cyl, Turbo Gas, 2.0L,White,Cream,1516.6666666666667
81,2017 Infiniti Q60 Premium,"$27,998*",66K miles,6 year(s),No Accidents or Damage Reported,Null,3 Service Record(s) Reported,20 gal,"112.2""","43.1""","37.4""",Null,"3,774 lbs",Null,Rear Wheel Drive,Automatic,295,1600,"184.4"" L "," 72.8"" W "," 54.9"" H",19 city,28 hwy,6-cyl, Turbo Gas, 3.0L,Black,Black,1843.75
82,2019 Ford Mustang Ecoboost Premium,"$25,998*",37K miles,4 year(s),No Accidents or Damage Reported,Null,,16 gal,"107.1""","44.5""","37.6""",Null,"3,642 lbs",Null,Rear Wheel Drive,Manual 6 Speed,350,3000,"188.3"" L "," 75.4"" W "," 54.9"" H",20 city,28 hwy,4-cyl, Turbo Gas, 2.3L,Red,Black,1166.6666666666667
83,2017 BMW 440 I xDrive,"$35,998*",15K miles,6 year(s),,Null,10 Service Record(s) Reported,15.8 gal,"110.6""","42.2""","39.8""",Null,"3,775 lbs",Null,All Wheel Drive,Manual 6 Speed,330,1380,"182.6"" L "," 71.9"" W "," 54.8"" H",21 city,31 hwy,6-cyl, Turbo Gas, 3.0L,Black,Black,2391.304347826087
84,2018 Dodge Challenger T/A 392,"$42,998*",17K miles,5 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,18.5 gal,"116.2""","42""","39.3""",Null,"4,232 lbs",Null,Rear Wheel Drive,Automatic,475,4100,"197.9"" L "," 75.7"" W "," 57.5"" H",14 city,23 hwy,8-cyl, Gas, 6.4L,Black,Black,1158.5365853658536
85,2013 Mercedes-Benz C63 AMG,"$35,998*",57K miles,10 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,17.4 gal,"108.7""","""","37.0""",Null,"3,816 lbs",Null,Rear Wheel Drive,Automatic,443,5000,"185.3"" L "," 69.7"" W "," 54.6"" H",15 city,22 hwy,8-cyl, Gas, 6.3L,Red,Black,886.0
87,2014 Scion FR-S,"$19,998*",78K miles,9 year(s),,Null,1 Service Record(s) Reported,13.2 gal,"101.2""","41.9""","37.1""",Null,"2,758 lbs",Null,Rear Wheel Drive,Manual 6 Speed,151,6400,"166.7"" L "," 69.9"" W "," 50.6"" H",22 city,30 hwy,4-cyl, Gas, 2.0L,Red,Black,235.9375
88,2022 Ford Mustang GT,"$39,998*",5K miles,1 year(s),No Accidents or Damage Reported,Null,,16 gal,"107.1""","44.5""","37.6""",Null,"3,705 lbs",Null,Null,Automatic,420,4600,"188.3"" L "," 75.4"" W "," 54.4"" H",Null,Null,8-cyl, Gas, 5.0L,White,Black,913.0434782608696
