,ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
28,8,No Accidents or Damage Reported,0,0,2015 Kia Rio LX,14599,63,123,101.2,43.8,40.0,Null,2480,Null,Front Wheel Drive,Automatic,123,4850,171.9,67.7,57.3,27,37,4, Gas,1.6,Black,Gray,253.6
29,11,No Accidents or Damage Reported,0,0,2012 Toyota Corolla S,15998,103,128,102.4,41.7,38.8,Null,2800,Null,Front Wheel Drive,Automatic,128,4400,179.3,69.4,57.7,26,34,4, Gas,1.8,Black,Black,290.9
30,1,No Accidents or Damage Reported,0,0,2022 Nissan Kicks S,21998,29,114,103.1,43.7,40.4,25.3 cu ft,2682,Null,Front Wheel Drive,Automatic,114,4000,169.1,69.3,63.3,31,36,4, Gas,1.6,White,Black,285.0
31,7,No Accidents or Damage Reported,0,0,2016 Chrysler 300 Limited,20998,44,260,120.2,41.8,38.6,Null,4029,Null,Rear Wheel Drive,Automatic,260,4800,198.6,75.0,58.4,19,31,6, Gas,3.6,Gray,Black,541.7
32,4,No Accidents or Damage Reported,0,3,2019 Audi A4 Premium Plus,25998,53,273,111.0,41.3,38.9,Null,3627,Null,All Wheel Drive,Automatic,273,1600,186.1,72.5,56.2,23,34,4, Turbo Gas,2.0,Gray,Black,1706.2
33,6,No Accidents or Damage Reported,0,0,2017 Audi A3 Premium,19998,83,221,103.8,41.2,39.6,Null,3197,Null,Front Wheel Drive,Automatic,221,1600,175.5,70.7,55.7,26,35,4, Turbo Gas,2.0,White,Gray,1381.2
34,6,No Accidents or Damage Reported,0,1,2017 Subaru WRX STI Limited,30998,54,290,104.3,43.3,37.2,Null,3455,Null,All Wheel Drive,Manual 6 Speed,290,4000,180.9,70.7,58.1,17,23,4, Turbo Gas,2.5,Blue,Black,725.0
35,3,No Accidents or Damage Reported,0,0,2020 Nissan Altima SR,25998,23,180,111.2,43.8,39.2,Null,3287,Null,Front Wheel Drive,Automatic,180,3600,192.9,72.9,56.9,27,37,4, Gas,2.5,Blue,Black,500.0
36,6,No Accidents or Damage Reported,0,4,2017 Lincoln MKZ Premier,18998,99,270,112.2,44.3,37.9,Null,3900,Null,All Wheel Drive,Automatic,270,3000,194.1,73.4,58.1,20,28,4, Turbo Gas,2.0,Gray,Tan,900.0
37,9,No Accidents or Damage Reported,0,9,2014 BMW 528 XI,21998,58,260,116.9,41.4,40.5,Null,4001,Null,All Wheel Drive,Automatic,260,1250,193.4,73.2,57.6,22,33,4, Turbo Gas,2.0,White,Tan,2080.0
38,1,No Accidents or Damage Reported,0,0,2022 Toyota Corolla LE,22998,37,126,106.3,42.0,38.3,Null,2955,Null,Front Wheel Drive,Automatic,126,3900,182.3,70.1,56.5,30,38,4, Gas,1.8,Black,Black,323.1
39,1,No Accidents or Damage Reported,0,0,2022 Nissan Kicks SR,24998,15,114,103.1,43.7,40.4,25.3 cu ft,2744,Null,Front Wheel Drive,Automatic,114,4000,169.1,69.3,63.4,31,36,4, Gas,1.6,White,Black,285.0
40,6,No Accidents or Damage Reported,0,0,2017 Hyundai Accent SE,15998,45,123,101.2,41.8,39.9,Null,2480,Null,Front Wheel Drive,Manual 6 Speed,123,4850,172.0,66.9,57.1,27,37,4, Gas,1.6,Gray,Gray,253.6
41,9,No Accidents or Damage Reported,0,8,2014 Audi A8 L,29998,59,444,122.9,41.4,37.2,Null,4619,Null,All Wheel Drive,Automatic,444,1500,207.4,76.7,57.9,16,26,8, Turbo Gas,4.0,White,Tan,2960.0
42,9,No Accidents or Damage Reported,0,0,2014 Mercedes-Benz C250 Sport,19998,59,229,108.7,41.7,37.1,Null,3428,Null,Rear Wheel Drive,Automatic,229,2000,180.8,69.7,56.3,22,31,4, Turbo Gas,1.8,Silver,Black,1145.0
