,Unnamed: 0,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
87,108,2020 Ford Mustang Ecoboost,24998,46,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,350,3000,188.3,75.4,54.4,21,30,4, Turbo Gas,2.3,Gray,Black,1166.7
88,109,2021 Dodge Challenger R/T Scat Pack,43998,11,2,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4230,Null,Null,Automatic,475,4100,197.9,75.7,57.7,14,23,8, Gas,6.4,Silver,Black,1158.5
89,112,2019 Chevrolet Camaro 2SS,38998,36,4,Multiple Damage Events,0,0,19.0,110.7,43.9,38.5,0.0,3685,Null,Null,Automatic,455,4400,188.3,74.7,53.1,16,24,8, Gas,6.2,Blue,Black,1034.1
90,114,2021 Dodge Challenger SXT,27998,22,2,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,3858,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.7,19,30,6, Gas,3.6,White,Black,558.3
91,115,2018 Chevrolet Corvette Stingray,48998,48,5,No Accidents or Damage Reported,0,0,18.5,106.7,43.0,37.9,0.0,3298,Null,Rear Wheel Drive,Automatic,460,4600,176.9,73.9,48.8,16,25,8, Gas,6.2,Blue,Black,1000.0
92,117,2019 Dodge Challenger SXT,24998,59,4,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,3894,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,19,30,6, Gas,3.6,Red,Black,558.3
93,118,2017 Nissan 370Z,23998,85,6,No Accidents or Damage Reported,0,4,19.0,100.4,42.9,38.2,0.0,3332,Null,Rear Wheel Drive,Automatic,270,5200,167.5,72.6,51.8,19,26,6, Gas,3.7,Pearl,Black,519.2
94,119,2018 Dodge Challenger SRT 392,43998,38,5,No Accidents or Damage Reported,0,4,18.5,116.2,42.0,39.3,0.0,4279,Null,Rear Wheel Drive,Automatic,475,4100,198.0,75.7,55.9,14,23,8, Gas,6.4,Black,Black,1158.5
95,120,2018 Chevrolet Camaro SS,37998,21,5,No Accidents or Damage Reported,0,0,19.0,110.7,43.9,38.5,0.0,3685,Null,Rear Wheel Drive,Automatic,455,4400,188.3,74.7,53.1,16,25,8, Gas,6.2,Black,Black,1034.1
97,122,2020 Dodge Challenger SXT,26998,43,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,3858,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,19,30,6, Gas,3.6,Gray,Black,558.3
98,123,2020 Dodge Challenger SXT,26998,44,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,3858,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,19,30,6, Gas,3.6,White,Black,558.3
100,125,2013 Chevrolet Camaro ZL1,42998,18,10,No Accidents or Damage Reported,0,2,19.0,112.3,42.4,37.4,0.0,4120,Null,Rear Wheel Drive,Manual 6 Speed,556,4200,190.4,75.5,54.2,14,19,8, Supercharged Gas,6.2,Black,Black,1323.8
101,126,2015 Ford Mustang Ecoboost,22998,34,8,No Accidents or Damage Reported,0,4,15.5,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,320,2500,188.3,75.4,54.4,22,31,4, Turbo Gas,2.3,White,Black,1280.0
102,127,2017 Chevrolet Camaro LT,27998,43,6,No Accidents or Damage Reported,0,0,19.0,110.7,43.9,38.5,0.0,3354,Null,Rear Wheel Drive,Automatic,284,5300,188.3,74.7,53.1,16,28,6, Gas,3.6,Black,Black,535.8
103,130,2018 Dodge Challenger GT,26998,55,5,No Accidents or Damage Reported,0,1,18.5,116.2,42.0,39.3,0.0,4108,Null,All Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,18,27,6, Gas,3.6,Gray,Black,558.3
104,131,2018 Honda Civic SI,23998,77,5,No Accidents or Damage Reported,0,2,12.4,106.3,42.3,36.5,0.0,2889,Null,Front Wheel Drive,Manual 6 Speed,192,2100,177.3,70.9,54.7,28,38,4, Turbo Gas,1.5,Gray,Black,914.3
105,132,2018 Infiniti Q60 Red Sport 400,36998,41,5,No Accidents or Damage Reported,0,0,20.0,112.2,43.1,37.4,0.0,4024,Null,All Wheel Drive,Automatic,350,1600,184.4,72.8,54.9,19,26,6, Turbo Gas,3.0,Silver,Red,2187.5
108,135,2020 BMW 430 I xDrive,33998,22,3,No Accidents or Damage Reported,0,1,15.8,110.6,42.2,39.8,0.0,3697,Null,All Wheel Drive,Automatic,258,1450,182.7,71.9,54.8,21,31,4, Turbo Gas,2.0,Gray,Black,1779.3
109,136,2017 Dodge Challenger R/T Scat Pack,33998,56,6,No Accidents or Damage Reported,0,3,18.5,116.2,42.0,39.3,0.0,4232,Null,Rear Wheel Drive,Manual 6 Speed,475,4100,197.9,75.7,57.5,14,23,8, Gas,6.4,White,Black,1158.5
110,138,2019 Dodge Challenger SXT,27998,27,4,No Accidents or Damage Reported,0,2,18.5,116.2,42.0,39.3,0.0,3894,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,19,30,6, Gas,3.6,Silver,Black,558.3
