,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
86,2018 Dodge Challenger GT,26998,55 ,5,No Accidents or Damage Reported,0,1,18.5,116.2,42.0,39.3,0,4108,Null,All Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,18,27,6, Gas,3.6,Gray,Black,558.3
87,2020 Dodge Challenger SXT,26998,43 ,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0,3858,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,19,30,6, Gas,3.6,Gray,Black,558.3
88,2019 Mazda MX-5 Miata RF Grand Touring,26998,42 ,4,No Accidents or Damage Reported,0,0,11.9,90.9,43.1,36.8,0,2493,Null,Rear Wheel Drive,Automatic,151,4000,154.1,68.3,49.0,26,35,4, Gas,2.0,Black,Black,377.5
89,2015 Dodge Dart SXT,15998,89 ,8,No Accidents or Damage Reported,0,1,14.2,106.4,42.2,38.6,0,3165,Null,Front Wheel Drive,Automatic,174,4800,183.9,72.0,57.7,22,35,4, Gas,2.4,White,Black,362.5
91,2018 Dodge Challenger R/T,29998,40 ,5,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0,4190,Null,Rear Wheel Drive,Manual 6 Speed,410,4300,197.9,75.7,57.5,15,23,8, Gas,5.7,White,Black,953.5
92,2020 Dodge Challenger SXT,26998,44 ,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0,3858,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,19,30,6, Gas,3.6,White,Black,558.3
93,2014 Dodge Dart SXT,14599,87 ,9,No Accidents or Damage Reported,0,4,14.2,106.4,42.2,38.6,0,3186,Null,Front Wheel Drive,Automatic,171,4800,183.9,72.0,57.7,22,35,4, Gas,2.4,Silver,Black,356.2
94,2017 Dodge Challenger R/T Scat Pack,32998,56 ,6,No Accidents or Damage Reported,0,3,18.5,116.2,42.0,39.3,0,4232,Null,Rear Wheel Drive,Manual 6 Speed,475,4100,197.9,75.7,57.5,14,23,8, Gas,6.4,White,Black,1158.5
95,2019 Dodge Challenger SXT,27998,27 ,4,No Accidents or Damage Reported,0,2,18.5,116.2,42.0,39.3,0,3894,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,19,30,6, Gas,3.6,Silver,Black,558.3
96,2017 Jaguar XF Prestige,25998,41 ,6,No Accidents or Damage Reported,0,0,19.5,116.5,41.5,37.1,0,3880,Null,All Wheel Drive,Automatic,332,3500,195.2,78.2,57.4,20,28,6, Supercharged Gas,3.0,White,Tan,948.6
98,2019 Dodge Challenger SXT,24998,58 ,4,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0,3894,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,19,30,6, Gas,3.6,White,Black,558.3
99,2018 Acura TLX SH-AWD A-Spec,29998,58 ,5,No Accidents or Damage Reported,0,0,17.2,109.3,42.6,37.2,0,3765,Null,All Wheel Drive,Automatic,267,4500,191.5,73.0,57.0,20,29,6, Gas,3.5,Black,Red,593.3
100,2015 Mercedes-Benz SLK350,26998,62 ,8,No Accidents or Damage Reported,0,0,18.5,95.7,42.5,39.1,0,3417,Null,Rear Wheel Drive,Automatic,273,3500,162.8,71.5,51.2,21,29,6, Gas,3.5,Gray,Brown,780.0
101,2020 Dodge Challenger GT,27998,54 ,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0,3894,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,19,30,6, Gas,3.6,Purple,Black,558.3
102,2017 Dodge Challenger 392 Hemi Scat Pack Shaker,37998,25 ,6,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0,4232,Null,Rear Wheel Drive,Automatic,475,4100,197.9,75.7,57.5,14,23,8, Gas,6.4,Gray,Black,1158.5
104,2016 Acura TLX,18998,76 ,7,No Accidents or Damage Reported,0,0,17.2,109.3,42.6,37.2,0,3492,Null,Front Wheel Drive,Automatic,182,4500,190.3,73.0,57.0,24,35,4, Gas,2.4,Black,Brown,404.4
105,2014 Chevrolet Corvette Stingray,44998,12 ,9,No Accidents or Damage Reported,0,5,18.5,106.7,43.0,37.9,0,3298,Null,Rear Wheel Drive,Automatic,460,4600,176.9,73.9,48.8,17,29,8, Gas,6.2,Yellow,Black,1000.0
106,2017 Mercedes-Benz SLC300,28998,53 ,6,No Accidents or Damage Reported,0,14,15.9,95.7,42.5,38.0,0,3296,Null,Rear Wheel Drive,Automatic,273,1300,162.8,71.5,51.3,25,32,4, Turbo Gas,2.0,Black,Tan,2100.0
107,2018 Dodge Challenger R/T Scat Pack,37998,22 ,5,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0,4232,Null,Rear Wheel Drive,Manual 6 Speed,475,4100,197.9,75.7,57.5,14,23,8, Gas,6.4,White,Black,1158.5
108,2013 Dodge Dart Limited,14998,96 ,10,No Accidents or Damage Reported,0,26,15.8,106.4,42.2,38.6,0,3186,Null,Front Wheel Drive,Automatic,148,4600,183.9,72.0,57.7,25,36,4, Gas,2.0,Black,Black,321.7
109,2014 Smart Fortwo Passion,9599,84 ,9,No Accidents or Damage Reported,0,0,8.7,73.5,41.2,39.7,0,1808,Null,Rear Wheel Drive,Automatic,68,4500,106.1,61.4,60.7,34,38,3, Gas,1.0,White,Black,151.1
110,2013 Dodge Challenger R/T,25998,39 ,10,No Accidents or Damage Reported,0,3,19.5,116.0,42.0,39.3,0,4041,Null,Null,Automatic,400,4400,197.7,75.7,57.1,15,23,8, Gas,5.7,Black,Black,909.1
111,2016 Ford Mustang Ecoboost,19998,81 ,7,No Accidents or Damage Reported,0,4,15.5,107.1,44.5,37.6,0,3532,Null,Null,Automatic,320,2500,188.3,75.4,54.4,22,31,4, Turbo Gas,2.3,Black,Black,1280.0
112,2015 Chevrolet Camaro SS,25998,85 ,8,No Accidents or Damage Reported,0,5,19.0,112.3,42.4,37.4,0,3908,Null,Rear Wheel Drive,Automatic,420,4600,190.6,75.5,54.2,16,24,8, Gas,6.2,Black,Black,913.0
113,2020 Ford Mustang Ecoboost,22998,74 ,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0,3532,Null,Null,Automatic,350,3000,188.3,75.4,54.4,21,30,4, Turbo Gas,2.3,Silver,Black,1166.7
114,2017 Mercedes-Benz SLC300,29998,40 ,6,No Accidents or Damage Reported,0,1,15.9,95.7,42.5,38.0,0,3296,Null,Rear Wheel Drive,Automatic,273,1300,162.8,71.5,51.3,25,32,4, Turbo Gas,2.0,Red,Black,2100.0
