,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,torque,horsepower,fuel_capacity,dimension,wheelbase,front_tire_size,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,mile_per_gallon,engine_text,drive_type_text,transmission_text,color_ext_int,prior_use,keys
130,2018 Dodge Challenger GT,"$26,998*",55K miles,5 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,268 torque@4800rpm,305 horsepower@6350rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.5"" H","116.2""",P235/55HR19,"42""","39.3""",Null,"4,108 lbs",Null,18 city/27 hwy,"6-cyl, Gas, 3.6L",All Wheel Drive,Automatic,Gray/Black,None,2']
131,2018 Honda Civic SI,"$23,998*",77K miles,5 year(s),,Null,2 Service Record(s) Reported,192 torque@2100rpm,205 horsepower@5700rpm,12.4 gal,"177.3"" L x 70.9"" W x 54.7"" H","106.3""",P235/40WR18,"42.3""","36.5""",Null,"2,889 lbs",Null,28 city/38 hwy,"4-cyl, Turbo Gas, 1.5L",Front Wheel Drive,Manual 6 Speed,Gray/Black,None,2']
132,2018 Infiniti Q60 Red Sport 400,"$36,998*",41K miles,5 year(s),,Null,,350 torque@1600rpm,400 horsepower@6400rpm,20 gal,"184.4"" L x 72.8"" W x 54.9"" H","112.2""",P255/35VR20,"43.1""","37.4""",Null,"4,024 lbs",Null,19 city/26 hwy,"6-cyl, Turbo Gas, 3.0L",All Wheel Drive,Automatic,Silver/Red,None,2']
133,2022 Ford Mustang Ecoboost Premium,"$26,998*",37K miles,1 year(s),No Accidents or Damage Reported,Null,,350 torque@3000rpm,310 horsepower@5500rpm,16 gal,"188.3"" L x 75.4"" W x 54.4"" H","107.1""",P235/50WR18,"44.5""","37.6""",Null,"3,532 lbs",Null,29 hwy,"4-cyl, Turbo Gas, 2.3L",Null,Automatic,Gray/Black,None,2']
134,2021 Ford Mustang Ecoboost Premium,"$30,998*",14K miles,2 year(s),No Accidents or Damage Reported,Null,,350 torque@3000rpm,310 horsepower@5500rpm,16 gal,"188.3"" L x 75.4"" W x 54.9"" H","107.1""",P235/50WR18,"44.5""","37.6""",Null,"3,642 lbs",Null,27 hwy,"4-cyl, Turbo Gas, 2.3L",Null,Automatic,Silver/Black,None,2']
135,2020 BMW 430 I xDrive,"$33,998*",22K miles,3 year(s),,Null,1 Service Record(s) Reported,258 torque@1450rpm,248 horsepower@5200rpm,15.8 gal,"182.7"" L x 71.9"" W x 54.8"" H","110.6""",P225/45VR18,"42.2""","39.8""",Null,"3,697 lbs",Null,21 city/31 hwy,"4-cyl, Turbo Gas, 2.0L",All Wheel Drive,Automatic,Gray/Black,None,2']
136,2017 Dodge Challenger R/T Scat Pack,"$33,998*",56K miles,6 year(s),No Accidents or Damage Reported,Null,3 Service Record(s) Reported,475 torque@4100rpm,485 horsepower@6100rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.5"" H","116.2""",P245/45YR20,"42""","39.3""",Null,"4,232 lbs",Null,14 city/23 hwy,"8-cyl, Gas, 6.4L",Rear Wheel Drive,Manual 6 Speed,White/Black,None,2']
137,2015 Ford Mustang Ecoboost,"$21,998*",53K miles,8 year(s),No Accidents or Damage Reported,Null,8 Service Record(s) Reported,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,22 city/31 hwy,"4-cyl, Turbo Gas, 2.3L",Rear Wheel Drive,Automatic,Black/Black,None,2']
138,2019 Dodge Challenger SXT,"$27,998*",27K miles,4 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,268 torque@4800rpm,305 horsepower@6350rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.5"" H","116.2""",P235/55HR18,"42""","39.3""",Null,"3,894 lbs",Null,19 city/30 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,Silver/Black,None,2']
139,2016 Buick Cascada Premium,"$19,998*",78K miles,7 year(s),No Accidents or Damage Reported,Null,20 Service Record(s) Reported,206,200,14.3 gal,"184.9"" L x 72.4"" W x 56.8"" H","106.1""",P245/40R20,"42.2""","37.8""",Null,"3,979 lbs",Null,20 city/27 hwy,"4-cyl, Turbo Gas, 1.6L",Front Wheel Drive,Automatic,White/Tan,None,2']
140,2019 Ford Mustang Ecoboost,"$25,998*",21K miles,4 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,21 city/31 hwy,"4-cyl, Turbo Gas, 2.3L",Rear Wheel Drive,Automatic,Black/Black,None,2']
141,2013 Hyundai Elantra GS,"$15,998*",32K miles,10 year(s),No Accidents or Damage Reported,Null,,131 torque@4700rpm,148 horsepower@6500rpm,13.200 gal,"178.700"" L x 69.900"" W x 56.500"" H","106.300""",P205/55R16,"43.600""","39.800""",Null,"2,729 lbs",Null,27 city/37 hwy,"4-cyl, Gas, 1.8L",Front Wheel Drive,Automatic,Blue/Gray,None,2']
